address_codec_id,codec_code,codec_name,address_family,identifier_kind,accepted_formats,canonical_format,payload_rule,checksum_behavior,chain_family_compatibility,normalizer_version,valid_test_vectors_json,invalid_test_vectors_json,status,source_id,verified_at,notes
1,evm20_hex,EVM 20-byte hexadecimal,evm20,wallet_address,0x-prefixed 40 hex lowercase or mixed case,lowercase 0x hex,exact:20,eip55 optional input checksum; payload is 20 bytes,"evm,hyperliquid,zkrollup",u1-evm20-v1,"[""0x1111111111111111111111111111111111111111""]","[""0x1234""]",test_ready,4,2026-07-14,
10,btc_p2pkh_base58check,Bitcoin P2PKH Base58Check,btc_p2pkh,wallet_address,Base58Check mainnet P2PKH,original Base58Check,exact:21,double-sha256 Base58Check,utxo,u1-btc-base58-v1,"[""1BoatSLRHtKNngkdXEeobR76b53LETtpyT""]","[""1BoatSLRHtKNngkdXEeobR76b53LETtpyU""]",test_ready,5,2026-07-14,
11,btc_p2sh_base58check,Bitcoin P2SH Base58Check,btc_p2sh,wallet_address,Base58Check mainnet P2SH,original Base58Check,exact:21,double-sha256 Base58Check,utxo,u1-btc-base58-v1,"[""3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy""]","[""3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLz""]",test_ready,5,2026-07-14,
12,btc_bech32,Bitcoin SegWit Bech32,btc_bech32,wallet_address,bc1 witness v0,lowercase Bech32,variable:3-41,Bech32 polymod,utxo,u1-btc-segwit-v1,"[""bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kv8f3t4""]","[""bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kygt080""]",test_ready,5,2026-07-14,
13,btc_bech32m,Bitcoin SegWit Bech32m,btc_bech32m,wallet_address,bc1 witness v1-v16,lowercase Bech32m,variable:3-41,Bech32m polymod,utxo,u1-btc-segwit-v1,"[""bc1pw508d6qejxtdg4y5r3zarvary0c5xw7kw508d6qejxtdg4y5r3zarvary0c5xw7kt5nd6y""]","[""bc1p5cyxnuxmeuwuvkwfem96llyxf2fl0v0v9s4x93""]",test_ready,5,2026-07-14,
20,solana_base58_32,Solana 32-byte public key,solana32,wallet_or_public_key,Base58,canonical Base58,exact:32,none,solana,u1-solana-v1,"[""11111111111111111111111111111111""]","[""1111""]",test_ready,6,2026-07-14,
21,tron_base58check,TRON Base58Check account,tron21,wallet_address,Base58Check T-address,canonical Base58Check,exact:21,double-sha256 Base58Check and 0x41 network byte,tron,u1-tron-v1,"[""TQn9Y2khEsLJW1ChVWFMSMeRDow5KcbLSE""]","[""TQn9Y2khEsLJW1ChVWFMSMeRDow5KcbLSF""]",test_ready,7,2026-07-14,
30,sui_hex_32,Sui 32-byte hexadecimal,move32,wallet_address,0x hexadecimal,left-padded lowercase 0x hex,exact:32,none,move,u1-sui-v1,[],[],catalogued,9,2026-07-14,Normalizer tests pending
31,aptos_hex_32,Aptos 32-byte hexadecimal,move32,wallet_address,0x hexadecimal,left-padded lowercase 0x hex,exact:32,none,move,u1-aptos-v1,[],[],catalogued,9,2026-07-14,Normalizer tests pending
40,cosmos_bech32_account,Cosmos Bech32 account,cosmos_account,wallet_address,chain HRP Bech32,lowercase Bech32,variable:20-32,Bech32 polymod,cosmos,u1-cosmos-v1,[],[],catalogued,8,2026-07-14,Per-namespace HRP required
41,cosmos_bech32_validator,Cosmos Bech32 validator,cosmos_validator,staking_identifier,chain valoper HRP Bech32,lowercase Bech32,variable:20-32,Bech32 polymod,cosmos,u1-cosmos-v1,[],[],catalogued,8,2026-07-14,Per-namespace HRP required
50,ton_raw,TON raw account,ton,wallet_address,workchain:64-hex,canonical workchain:lowercase hex,exact:33,none,ton,u1-ton-v1,[],[],catalogued,9,2026-07-14,
51,ton_friendly,TON friendly account,ton,wallet_address,Base64 or Base64URL friendly address,canonical bounceable Base64URL,exact:36,CRC16,ton,u1-ton-v1,[],[],catalogued,9,2026-07-14,
60,near_account_id,NEAR account ID,near_account,wallet_address,named or implicit account,lowercase account ID,variable:2-64,syntax validation,near,u1-near-v1,[],[],catalogued,9,2026-07-14,
70,cardano_byron,Cardano Byron address,cardano_byron,wallet_address,Base58 CBOR address,canonical Base58,variable:28-128,CBOR CRC32/cardano rules,cardano,u1-cardano-v1,[],[],catalogued,9,2026-07-14,
71,cardano_shelley,Cardano Shelley address,cardano_shelley,wallet_address,addr Bech32,lowercase Bech32,variable:29-57,Bech32 and header network bits,cardano,u1-cardano-v1,[],[],catalogued,9,2026-07-14,
80,substrate_ss58,Substrate SS58 address,substrate,wallet_or_staking_identifier,SS58 Base58,canonical SS58,variable:32-35,SS58 checksum and namespace prefix,substrate,u1-substrate-v1,[],[],catalogued,9,2026-07-14,
90,xrp_classic,XRP classic address,xrpl,wallet_address,Base58Check r-address,canonical XRP Base58,exact:21,XRP Base58Check,xrpl,u1-xrpl-v1,[],[],catalogued,9,2026-07-14,
91,stellar_strkey,Stellar StrKey account,stellar,wallet_address,G-address,uppercase StrKey,exact:35,CRC16-XModem,stellar,u1-stellar-v1,[],[],catalogued,9,2026-07-14,
92,algorand_base32,Algorand account,algorand,wallet_address,Base32 address,uppercase Base32,exact:36,SHA512/256 checksum,algorand,u1-algorand-v1,[],[],catalogued,9,2026-07-14,
93,tezos_base58check,Tezos implicit or originated address,tezos,wallet_address,tz1/tz2/tz3/KT1 Base58Check,canonical Base58Check,variable:22-23,Blake2b Base58Check,tezos,u1-tezos-v1,[],[],catalogued,9,2026-07-14,
94,hedera_account_id,Hedera account ID,hedera,wallet_address,shard.realm.num or alias,canonical dotted numeric/alias,variable:12-32,network checksum optional textual form,hedera,u1-hedera-v1,[],[],catalogued,9,2026-07-14,
95,starknet_felt,Starknet felt address,starknet_felt,wallet_address,0x hexadecimal,left-padded lowercase 0x hex,exact:32,field range validation,starknet,u1-starknet-v1,[],[],catalogued,9,2026-07-14,
96,bch_cashaddr,Bitcoin Cash CashAddr,bch_cashaddr,wallet_address,cashaddr with network prefix,lowercase cashaddr payload,variable:21-65,CashAddr polymod,utxo,u1-bch-cashaddr-v1,[],[],catalogued,9,2026-07-17,Bitcoin Cash and eCash HRP supplied by namespace
97,utxo_base58check,UTXO Base58Check account,utxo_base58check,wallet_address,network-versioned Base58Check,canonical Base58Check,variable:21-65,double-sha256 Base58Check,utxo,u1-utxo-base58-v1,[],[],catalogued,9,2026-07-17,Namespace supplies version/discriminator
98,utxo_bech32,UTXO SegWit Bech32 account,utxo_bech32,wallet_address,network HRP Bech32/Bech32m,lowercase Bech32,variable:3-65,Bech32 or Bech32m polymod,utxo,u1-utxo-bech32-v1,[],[],catalogued,9,2026-07-17,Namespace supplies HRP
99,zcash_transparent_base58check,Zcash transparent address,zcash_transparent,wallet_address,t1 or t3 Base58Check,canonical Base58Check,variable:22-64,double-sha256 Base58Check,utxo,u1-zcash-transparent-v1,[],[],catalogued,9,2026-07-17,Shielded formats remain planned
100,monero_base58_account,Monero account address,monero_account,wallet_address,standard or subaddress Base58,canonical Monero Base58,variable:65-77,Keccak checksum,monero,u1-monero-v1,[],[],catalogued,9,2026-07-17,Integrated and subaddress network bytes validated by future normalizer
101,liquid_confidential_address,Liquid confidential address,liquid_confidential,wallet_address,blech32 confidential or unconfidential address,lowercase network address,variable:21-80,Blech32 or Base58Check,liquid,u1-liquid-v1,[],[],catalogued,9,2026-07-17,Confidential and unconfidential payload variants
102,avalanche_cb58,Avalanche CB58 identifier,avalanche_cb58,wallet_address,chain-prefixed CB58 or bech32 address,canonical chain-prefixed text,variable:20-65,CB58 or Bech32 checksum,avalanche,u1-avalanche-v1,[],[],catalogued,9,2026-07-17,X/P wallet namespace
103,concordium_base58check,Concordium account address,concordium_account,wallet_address,Base58Check account,canonical Base58Check,exact:32,SHA-256 checksum,concordium,u1-concordium-v1,[],[],catalogued,9,2026-07-17,
104,icp_principal,Internet Computer principal,icp_principal,wallet_address,textual principal,lowercase dash-separated principal,variable:1-29,CRC32 plus base32,internet_computer,u1-icp-v1,[],[],catalogued,9,2026-07-17,
105,multiversx_bech32,MultiversX account,multiversx_account,wallet_address,erd Bech32,lowercase Bech32,exact:32,Bech32 polymod,multiversx,u1-multiversx-v1,[],[],catalogued,9,2026-07-17,
106,filecoin_address,Filecoin address,filecoin_address,wallet_address,f0-f4 protocol address,lowercase network address,variable:1-64,Blake2b checksum by protocol,filecoin,u1-filecoin-v1,[],[],catalogued,9,2026-07-17,
107,iota_bech32,IOTA-family account,iota_account,wallet_address,network HRP Bech32,lowercase Bech32,exact:33,Bech32 polymod,iota,u1-iota-v1,[],[],catalogued,9,2026-07-17,IOTA and Shimmer HRPs supplied by namespace
108,neo_base58check,NEO N3 account,neo_account,wallet_address,Base58Check N3 account,canonical Base58Check,exact:21,double-sha256 Base58Check,neo,u1-neo-v1,[],[],catalogued,9,2026-07-17,
109,oasis_bech32,Oasis account,oasis_account,wallet_address,oasis Bech32 account,lowercase Bech32,exact:21,Bech32 polymod,oasis,u1-oasis-v1,[],[],catalogued,9,2026-07-17,
110,radix_bech32m,Radix account,radix_account,wallet_address,network-specific Bech32m,lowercase Bech32m,variable:30-70,Bech32m polymod,radix,u1-radix-v1,[],[],catalogued,9,2026-07-17,
111,waves_base58,Waves account,waves_account,wallet_address,Base58 address,canonical Base58,exact:26,secure hash checksum,waves,u1-waves-v1,[],[],catalogued,9,2026-07-17,
112,eosio_account_or_key,Antelope account or public key,eosio_identifier,wallet_or_public_key,12-char account or EOS/PUB key,canonical Antelope text,variable:1-66,RIPEMD160 key checksum where applicable,eosio,u1-eosio-v1,[],[],catalogued,9,2026-07-17,Vaulta and WAX
113,zilliqa_bech32,Zilliqa account,zilliqa_account,wallet_address,zil Bech32 or 20-byte hex,lowercase Bech32,exact:20,Bech32 polymod,zilliqa,u1-zilliqa-v1,[],[],catalogued,9,2026-07-17,
114,mobilecoin_base58,MobileCoin public address,mobilecoin_address,wallet_address,Base58 public address,canonical Base58,variable:32-128,protobuf payload checksum,mobilecoin,u1-mobilecoin-v1,[],[],catalogued,9,2026-07-17,
115,metaverse_base58check,Metaverse ETP account,metaverse_account,wallet_address,Base58Check account,canonical Base58Check,variable:21-64,double-sha256 Base58Check,utxo,u1-metaverse-v1,[],[],catalogued,9,2026-07-17,
116,vsystems_base58,V Systems account,vsystems_account,wallet_address,Base58 account,canonical Base58,exact:26,secure hash checksum,vsystems,u1-vsystems-v1,[],[],catalogued,9,2026-07-17,
117,aion_hex32,Aion account,aion_account,wallet_address,0xa0-prefixed 32-byte hex,lowercase 0x hex,exact:32,prefix and hex validation,aion,u1-aion-v1,[],[],unsupported,9,2026-07-17,Historical network; no runtime support
118,chromia_bech32,Chromia account,chromia_account,wallet_address,chr Bech32 account,lowercase Bech32,exact:32,Bech32 polymod,chromia,u1-chromia-v1,[],[],catalogued,9,2026-07-17,
119,arweave_base64url,Arweave address,arweave_address,wallet_address,base64url transaction owner hash,canonical base64url,exact:32,SHA-256 derived identifier,arweave,u1-arweave-v1,[],[],catalogued,9,2026-07-17,
120,stacks_c32check,Stacks principal,stacks_principal,wallet_address,SP/SM c32check principal,uppercase c32check,variable:21-41,c32check,stacks,u1-stacks-v1,[],[],catalogued,9,2026-07-17,
121,flow_hex8,Flow account,flow_account,wallet_address,0x-prefixed 8-byte hex,lowercase 0x hex,exact:8,linear code validity,flow,u1-flow-v1,[],[],catalogued,9,2026-07-17,
122,mina_base58check,Mina public key,mina_public_key,wallet_address,B62 Base58Check,canonical Base58Check,exact:36,double-sha256 Base58Check,mina,u1-mina-v1,[],[],catalogued,9,2026-07-17,
123,kaspa_bech32,Kaspa address,kaspa_address,wallet_address,kaspa Bech32-like address,lowercase network address,variable:32-65,Kaspa checksum,utxo,u1-kaspa-v1,[],[],catalogued,9,2026-07-17,
124,nervos_bech32,Nervos CKB address,nervos_address,wallet_address,ckb Bech32/Bech32m,lowercase network address,variable:22-65,Bech32 or Bech32m polymod,nervos,u1-nervos-v1,[],[],catalogued,9,2026-07-17,
125,ethereum_bls_pubkey_48,Ethereum consensus validator public key,bls12_381_pubkey,validator_public_key,0x-prefixed 48-byte hex,lowercase 0x hex,exact:48,BLS12-381 subgroup validation,evm,u1-eth-consensus-v1,[],[],catalogued,9,2026-07-17,Not an execution wallet address
126,ethereum_withdrawal_credentials_32,Ethereum withdrawal credentials,withdrawal_credentials,staking_identifier,0x-prefixed 32-byte hex,lowercase 0x hex,exact:32,credential prefix validation,evm,u1-eth-consensus-v1,[],[],catalogued,9,2026-07-17,Not an execution wallet address
127,cosmos_valcons_bech32,Cosmos consensus address,cosmos_consensus,consensus_identifier,chain valcons HRP Bech32,lowercase Bech32,exact:20,Bech32 polymod,cosmos,u1-cosmos-consensus-v1,[],[],catalogued,9,2026-07-17,
128,cardano_stake_bech32,Cardano stake address,cardano_stake,staking_identifier,stake Bech32,lowercase Bech32,variable:29-57,Bech32 and network header,cardano,u1-cardano-stake-v1,[],[],catalogued,9,2026-07-17,
129,cardano_pool_bech32,Cardano pool identifier,cardano_pool,consensus_identifier,pool Bech32,lowercase Bech32,exact:28,Bech32 polymod,cardano,u1-cardano-pool-v1,[],[],catalogued,9,2026-07-17,
130,avalanche_node_id_cb58,Avalanche validator node ID,avalanche_node_id,consensus_identifier,NodeID- CB58,canonical NodeID text,exact:20,CB58 checksum,avalanche,u1-avalanche-node-v1,[],[],catalogued,9,2026-07-17,
131,hex32_public_key,32-byte public key,hex32_public_key,validator_public_key,0x-prefixed or raw 32-byte hex,lowercase hex,exact:32,curve-specific validation deferred,"move,near",u1-hex32-pubkey-v1,[],[],catalogued,9,2026-07-17,Validator or consensus use only
